sampleID,condition
W314813,mTEC-IV
W314816,mTEC-IV
W314818,mTEC-IV
W314821,mTEC-IV
W314823,mTEC-IV
W314825,mTEC-IV
W314828,mTEC-IV
W314830,mTEC-IV
W314831,mTEC-IV
W314832,mTEC-IV
W314834,mTEC-IV
W314835,mTEC-IV
W314836,mTEC-IV
W314841,mTEC-IV
W314842,mTEC-IV
W314843,mTEC-IV
W314847,mTEC-IV
W314848,mTEC-IV
W314849,mTEC-IV
W314850,mTEC-IV
W314851,mTEC-IV
W314853,mTEC-IV
W314854,mTEC-IV
W314855,mTEC-IV
W314856,mTEC-IV
W314860,mTEC-IV
W314863,mTEC-IV
W314864,mTEC-IV
W314865,mTEC-IV
W314867,mTEC-IV
W314868,mTEC-IV
W314874,mTEC-IV
W314875,mTEC-IV
W314876,mTEC-IV
W314879,mTEC-IV
W314882,mTEC-IV
W314883,mTEC-IV
W314884,mTEC-IV
W314885,mTEC-IV
W314886,mTEC-IV
W314887,mTEC-IV
W314893,mTEC-IV
W314894,mTEC-IV
W292242,mTEC-IV
W292246,mTEC-IV
W292250,mTEC-IV
W292251,mTEC-IV
W292255,mTEC-IV
W292256,mTEC-IV
W292258,mTEC-IV
W292259,mTEC-IV
W292263,mTEC-IV
W292266,mTEC-IV
W292267,mTEC-IV
W292270,mTEC-IV
W292271,mTEC-IV
W292272,mTEC-IV
W292277,mTEC-IV
W292279,mTEC-IV
W292282,mTEC-IV
W292283,mTEC-IV
W292284,mTEC-IV
W292286,mTEC-IV
W292288,mTEC-IV
W292290,mTEC-IV
W292291,mTEC-IV
W292292,mTEC-IV
W292295,mTEC-IV
W292296,mTEC-IV
W292299,mTEC-IV
W292300,mTEC-IV
W292302,mTEC-IV
W292304,mTEC-IV
W292306,mTEC-IV
W292307,mTEC-IV
W292308,mTEC-IV
W292309,mTEC-IV
W292310,mTEC-IV
W292312,mTEC-IV
W292314,mTEC-IV
W292315,mTEC-IV
W292317,mTEC-IV
W292323,mTEC-IV
W292324,mTEC-IV
W292325,mTEC-IV
W292328,mTEC-IV
W292330,mTEC-IV
W292338,mTEC-IV
W292339,mTEC-IV
W292342,mTEC-IV
W292346,mTEC-IV
W292349,mTEC-IV
W292350,mTEC-IV
W292351,mTEC-IV
W292354,mTEC-IV
W292355,mTEC-IV
W292356,mTEC-IV
W292357,mTEC-IV
W292358,mTEC-IV
W292363,mTEC-IV
W292366,mTEC-IV
W292367,mTEC-IV
W292368,mTEC-IV
W292371,mTEC-IV
W292372,mTEC-IV
W292374,mTEC-IV
W292380,mTEC-IV
W292381,mTEC-IV
W292382,mTEC-IV
W292388,mTEC-IV
W292390,mTEC-IV
W292391,mTEC-IV
W292394,mTEC-IV
W292396,mTEC-IV
W292397,mTEC-IV
W292398,mTEC-IV
W292399,mTEC-IV
W292402,mTEC-IV
W292403,mTEC-IV
W292404,mTEC-IV
W292405,mTEC-IV
W292411,mTEC-IV
W292412,mTEC-IV
W292413,mTEC-IV
W292414,mTEC-IV
W292416,mTEC-IV
W292417,mTEC-IV
W292420,mTEC-IV
W292421,mTEC-IV
W292423,mTEC-IV
W292426,mTEC-IV
W292427,mTEC-IV
W292431,mTEC-IV
W292432,mTEC-IV
W291857,mTEC-IV
W291858,mTEC-IV
W291859,mTEC-IV
W291860,mTEC-IV
W291863,mTEC-IV
W291866,mTEC-IV
W291868,mTEC-IV
W291869,mTEC-IV
W291870,mTEC-IV
W291871,mTEC-IV
W291872,mTEC-IV
W291874,mTEC-IV
W291879,mTEC-IV
W291880,mTEC-IV
W291881,mTEC-IV
W291884,mTEC-IV
W291886,mTEC-IV
W291889,mTEC-IV
W291890,mTEC-IV
W291892,mTEC-IV
W291894,mTEC-IV
W291895,mTEC-IV
W291896,mTEC-IV
W291897,mTEC-IV
W291898,mTEC-IV
W291899,mTEC-IV
W291903,mTEC-IV
W291905,mTEC-IV
W291906,mTEC-IV
W291907,mTEC-IV
W291908,mTEC-IV
W291909,mTEC-IV
W291914,mTEC-IV
W291916,mTEC-IV
W291918,mTEC-IV
W291921,mTEC-IV
W291922,mTEC-IV
W291924,mTEC-IV
W291927,mTEC-IV
W291928,mTEC-IV
W291930,mTEC-IV
W291931,mTEC-IV
W291933,mTEC-IV
W291936,mTEC-IV
W291937,mTEC-IV
W291939,mTEC-IV
W291944,mTEC-IV
W291946,mTEC-IV
W291947,mTEC-IV
W291948,mTEC-IV
W291951,mTEC-IV
W291956,mTEC-IV
W291957,mTEC-IV
W291961,mTEC-IV
W291962,mTEC-IV
W291963,mTEC-IV
W291965,mTEC-IV
W291967,mTEC-IV
W291968,mTEC-IV
W291969,mTEC-IV
W291971,mTEC-IV
W291979,mTEC-IV
W291980,mTEC-IV
W291985,mTEC-IV
W291987,mTEC-IV
W291992,mTEC-IV
W291995,mTEC-IV
W291996,mTEC-IV
W291999,mTEC-IV
W292000,mTEC-IV
W292001,mTEC-IV
W292002,mTEC-IV
W292003,mTEC-IV
W292004,mTEC-IV
W292008,mTEC-IV
W292010,mTEC-IV
W292012,mTEC-IV
W292013,mTEC-IV
W292014,mTEC-IV
W292015,mTEC-IV
W292021,mTEC-IV
W292023,mTEC-IV
W292025,mTEC-IV
W292026,mTEC-IV
W292027,mTEC-IV
W292030,mTEC-IV
W292031,mTEC-IV
W292033,mTEC-IV
W292038,mTEC-IV
W292039,mTEC-IV
W292043,mTEC-IV
W291665,mTEC-IV
W291666,mTEC-IV
W291668,mTEC-IV
W291670,mTEC-IV
W291676,mTEC-IV
W291677,mTEC-IV
W291679,mTEC-IV
W291680,mTEC-IV
W291683,mTEC-IV
W291685,mTEC-IV
W291686,mTEC-IV
W291687,mTEC-IV
W291689,mTEC-IV
W291694,mTEC-IV
W291696,mTEC-IV
W291697,mTEC-IV
W291698,mTEC-IV
W291700,mTEC-IV
W291701,mTEC-IV
W291702,mTEC-IV
W291703,mTEC-IV
W291705,mTEC-IV
W291706,mTEC-IV
W291708,mTEC-IV
W291709,mTEC-IV
W291711,mTEC-IV
W291712,mTEC-IV
W291713,mTEC-IV
W291714,mTEC-IV
W291715,mTEC-IV
W291717,mTEC-IV
W291720,mTEC-IV
W291721,mTEC-IV
W291723,mTEC-IV
W291725,mTEC-IV
W291727,mTEC-IV
W291728,mTEC-IV
W291729,mTEC-IV
W291730,mTEC-IV
W291731,mTEC-IV
W291732,mTEC-IV
W291734,mTEC-IV
W291736,mTEC-IV
W291738,mTEC-IV
W291739,mTEC-IV
W291740,mTEC-IV
W291741,mTEC-IV
W291743,mTEC-IV
W291745,mTEC-IV
W291746,mTEC-IV
W291748,mTEC-IV
W291749,mTEC-IV
W291750,mTEC-IV
W291752,mTEC-IV
W291753,mTEC-IV
W291755,mTEC-IV
W291756,mTEC-IV
W291757,mTEC-IV
W291758,mTEC-IV
W291760,mTEC-IV
W291761,mTEC-IV
W291762,mTEC-IV
W291763,mTEC-IV
W291764,mTEC-IV
W291765,mTEC-IV
W291769,mTEC-IV
W291770,mTEC-IV
W291772,mTEC-IV
W291773,mTEC-IV
W291774,mTEC-IV
W291775,mTEC-IV
W291776,mTEC-IV
W291779,mTEC-IV
W291781,mTEC-IV
W291783,mTEC-IV
W291785,mTEC-IV
W291786,mTEC-IV
W291787,mTEC-IV
W291789,mTEC-IV
W291790,mTEC-IV
W291794,mTEC-IV
W291795,mTEC-IV
W291796,mTEC-IV
W291799,mTEC-IV
W291801,mTEC-IV
W291803,mTEC-IV
W291804,mTEC-IV
W291805,mTEC-IV
W291807,mTEC-IV
W291808,mTEC-IV
W291809,mTEC-IV
W291813,mTEC-IV
W291814,mTEC-IV
W291816,mTEC-IV
W291817,mTEC-IV
W291819,mTEC-IV
W291820,mTEC-IV
W291823,mTEC-IV
W291824,mTEC-IV
W291825,mTEC-IV
W291826,mTEC-IV
W291828,mTEC-IV
W291830,mTEC-IV
W291831,mTEC-IV
W291833,mTEC-IV
W291836,mTEC-IV
W291837,mTEC-IV
W291839,mTEC-IV
W291840,mTEC-IV
W291841,mTEC-IV
W291842,mTEC-IV
W291844,mTEC-IV
W291845,mTEC-IV
W291847,mTEC-IV
W291848,mTEC-IV
W291850,mTEC-IV
W291852,mTEC-IV
W291853,mTEC-IV
W291856,mTEC-IV
srr2038194,Bulk
srr2038195,Bulk
