sampleID,condition
W379075,mTEC-IV
W379078,mTEC-IV
W379080,mTEC-IV
W379087,mTEC-IV
W379088,mTEC-IV
W379089,mTEC-IV
W379092,mTEC-IV
W379094,mTEC-IV
W379096,mTEC-IV
W379097,mTEC-IV
W379098,mTEC-IV
W379099,mTEC-IV
W379100,mTEC-IV
W379103,mTEC-IV
W379104,mTEC-IV
W379110,mTEC-IV
W379111,mTEC-IV
W379112,mTEC-IV
W379115,mTEC-IV
W379116,mTEC-IV
W379117,mTEC-IV
W379118,mTEC-IV
W379119,mTEC-IV
W379122,mTEC-IV
W379127,mTEC-IV
W379129,mTEC-IV
W379131,mTEC-IV
W379133,mTEC-IV
W379135,mTEC-IV
W379136,mTEC-IV
W379137,mTEC-IV
W379141,mTEC-IV
W379142,mTEC-IV
W379143,mTEC-IV
W379145,mTEC-IV
W379146,mTEC-IV
W379149,mTEC-IV
W379152,mTEC-IV
W379155,mTEC-IV
W379157,mTEC-IV
W379158,mTEC-IV
W379161,mTEC-IV
W379163,mTEC-IV
W379164,mTEC-IV
W379171,mTEC-IV
W379172,mTEC-IV
W379175,mTEC-IV
W379183,mTEC-IV
W379185,mTEC-IV
W379190,mTEC-IV
W379191,mTEC-IV
W379194,mTEC-IV
W379195,mTEC-IV
W379197,mTEC-IV
W379203,mTEC-IV
W379207,mTEC-IV
W379211,mTEC-IV
W379212,mTEC-IV
W379214,mTEC-IV
W378835,mTEC-IV
W378839,mTEC-IV
W378842,mTEC-IV
W378844,mTEC-IV
W378845,mTEC-IV
W378847,mTEC-IV
W378849,mTEC-IV
W378850,mTEC-IV
W378852,mTEC-IV
W378856,mTEC-IV
W378857,mTEC-IV
W378858,mTEC-IV
W378859,mTEC-IV
W378861,mTEC-IV
W378862,mTEC-IV
W378864,mTEC-IV
W378865,mTEC-IV
W378866,mTEC-IV
W378870,mTEC-IV
W378873,mTEC-IV
W378875,mTEC-IV
W378877,mTEC-IV
W378880,mTEC-IV
W378881,mTEC-IV
W378882,mTEC-IV
W378884,mTEC-IV
W378885,mTEC-IV
W378886,mTEC-IV
W378887,mTEC-IV
W378888,mTEC-IV
W378889,mTEC-IV
W378890,mTEC-IV
W378892,mTEC-IV
W378895,mTEC-IV
W378896,mTEC-IV
W378898,mTEC-IV
W378901,mTEC-IV
W378905,mTEC-IV
W378906,mTEC-IV
W378909,mTEC-IV
W378911,mTEC-IV
W378912,mTEC-IV
W378913,mTEC-IV
W378914,mTEC-IV
W378915,mTEC-IV
W378916,mTEC-IV
W378917,mTEC-IV
W378919,mTEC-IV
W378920,mTEC-IV
W378921,mTEC-IV
W378925,mTEC-IV
W378926,mTEC-IV
W378930,mTEC-IV
W378934,mTEC-IV
W378935,mTEC-IV
W378937,mTEC-IV
W378941,mTEC-IV
W378942,mTEC-IV
W378946,mTEC-IV
W378947,mTEC-IV
W378949,mTEC-IV
W378950,mTEC-IV
W378951,mTEC-IV
W378953,mTEC-IV
W378954,mTEC-IV
W378957,mTEC-IV
W378958,mTEC-IV
W378959,mTEC-IV
W378962,mTEC-IV
W378965,mTEC-IV
W378969,mTEC-IV
W378974,mTEC-IV
W378975,mTEC-IV
W378981,mTEC-IV
W378982,mTEC-IV
W378983,mTEC-IV
W378985,mTEC-IV
W378986,mTEC-IV
W378987,mTEC-IV
W378988,mTEC-IV
W378991,mTEC-IV
W378998,mTEC-IV
W378999,mTEC-IV
W379001,mTEC-IV
W379002,mTEC-IV
W379004,mTEC-IV
W379007,mTEC-IV
W379012,mTEC-IV
W379013,mTEC-IV
W379021,mTEC-IV
W379023,mTEC-IV
W378641,mTEC-IV
W378644,mTEC-IV
W378645,mTEC-IV
W378646,mTEC-IV
W378649,mTEC-IV
W378650,mTEC-IV
W378651,mTEC-IV
